04.07.21 22:32:20 btCrtd (318257258): get_menu
04.07.21 22:32:22 btCrtd (318257258): Меню
04.07.21 22:32:25 btCrtd (318257258): cocktail
04.07.21 22:34:02 btCrtd (318257258): get_menu
04.07.21 22:34:05 btCrtd (318257258): cocktail
04.07.21 22:34:15 btCrtd (318257258): get_menu
04.07.21 22:34:17 btCrtd (318257258): cocktail
04.07.21 22:35:28 btCrtd (318257258): get_menu
04.07.21 22:35:31 btCrtd (318257258): cocktail
04.07.21 22:36:11 btCrtd (318257258): get_menu
04.07.21 22:36:14 btCrtd (318257258): cocktail
04.07.21 22:37:05 btCrtd (318257258): order_info|daiquiri
04.07.21 22:37:07 btCrtd (318257258): delete_message
04.07.21 22:38:11 btCrtd (318257258): get_menu
04.07.21 22:38:14 btCrtd (318257258): cocktail
04.07.21 22:38:39 btCrtd (318257258): Баланс
04.07.21 22:38:45 btCrtd (318257258): Статистика
04.07.21 22:38:54 btCrtd (318257258): order_info|sex_on_the_beach
04.07.21 22:38:58 btCrtd (318257258): make_order|sex_on_the_beach
04.07.21 22:39:12 sfall3003 (129474100): order_no|318257258
04.07.21 22:39:20 btCrtd (318257258): delete_message
04.07.21 22:39:24 btCrtd (318257258): order_info|whisky_cola
04.07.21 22:39:29 btCrtd (318257258): make_order|whisky_cola
04.07.21 22:39:32 sfall3003 (129474100): order_yes|318257258>whisky_cola
04.07.21 22:39:39 btCrtd (318257258): Статистика
04.07.21 22:40:20 btCrtd (318257258): get_menu
04.07.21 22:40:21 btCrtd (318257258): whisky
04.07.21 22:40:31 btCrtd (318257258): Меню
04.07.21 22:40:33 btCrtd (318257258): whisky
04.07.21 22:40:40 btCrtd (318257258): get_menu
04.07.21 22:40:43 btCrtd (318257258): beer
04.07.21 22:40:44 btCrtd (318257258): order_info|beer_shpaten
04.07.21 22:40:54 btCrtd (318257258): delete_message
04.07.21 22:40:55 btCrtd (318257258): get_menu
04.07.21 22:40:57 btCrtd (318257258): wine
04.07.21 22:40:58 btCrtd (318257258): order_info|wine_pg
04.07.21 22:41:00 btCrtd (318257258): delete_message
04.07.21 22:41:01 btCrtd (318257258): get_menu
04.07.21 22:41:03 btCrtd (318257258): cocktail
04.07.21 22:41:17 btCrtd (318257258): order_info|qweqwe
04.07.21 22:53:32 sfall3003 (129474100): Меню
04.07.21 22:53:36 sfall3003 (129474100): cocktail
04.07.21 22:53:39 sfall3003 (129474100): order_info|pina_coladaq
04.07.21 22:55:24 sfall3003 (129474100): delete_message
04.07.21 22:55:26 sfall3003 (129474100): order_info|mojito
04.07.21 22:55:34 sfall3003 (129474100): make_order|mojito
04.07.21 22:56:59 sfall3003 (129474100): make_order|mojito
05.07.21 10:05:11 sfall3003 (129474100): Меню
05.07.21 10:05:18 sfall3003 (129474100): whisky
05.07.21 10:06:50 sfall3003 (129474100): get_menu
05.07.21 10:06:51 sfall3003 (129474100): whisky
05.07.21 10:06:57 sfall3003 (129474100): get_menu
05.07.21 10:09:36 sfall3003 (129474100): Меню
05.07.21 10:10:47 sfall3003 (129474100): Меню
05.07.21 10:10:52 sfall3003 (129474100): liquor
05.07.21 10:10:54 sfall3003 (129474100): order_info|liquor_bc
05.07.21 10:10:56 sfall3003 (129474100): delete_message
05.07.21 10:11:00 sfall3003 (129474100): get_menu
05.07.21 10:11:42 sfall3003 (129474100): Баланс
05.07.21 10:11:45 sfall3003 (129474100): Статистика
05.07.21 10:11:54 sfall3003 (129474100): Меню
05.07.21 10:11:56 sfall3003 (129474100): cocktail
05.07.21 10:12:02 sfall3003 (129474100): order_info|sex_on_the_beach
05.07.21 10:12:14 sfall3003 (129474100): delete_message
05.07.21 10:12:18 sfall3003 (129474100): get_menu
05.07.21 10:12:20 sfall3003 (129474100): whisky
05.07.21 10:12:22 sfall3003 (129474100): get_menu
05.07.21 10:12:23 sfall3003 (129474100): wine
05.07.21 10:12:24 sfall3003 (129474100): get_menu
05.07.21 10:12:25 sfall3003 (129474100): beer
05.07.21 10:12:27 sfall3003 (129474100): get_menu
05.07.21 10:12:28 sfall3003 (129474100): liquor
05.07.21 10:12:30 sfall3003 (129474100): get_menu
05.07.21 10:13:15 sfall3003 (129474100): free
05.07.21 10:13:21 sfall3003 (129474100): get_menu
05.07.21 10:24:25 sfall3003 (129474100): /start
05.07.21 10:24:33 sfall3003 (129474100): Меню 📜
05.07.21 10:25:33 sfall3003 (129474100): /start
05.07.21 10:25:36 sfall3003 (129474100): Меню 📜
05.07.21 10:25:40 sfall3003 (129474100): Баланс 💸
05.07.21 10:25:46 sfall3003 (129474100): Статистика 📈
